Timestamp,Temperature,Aerosol Optical Depth,Clearsky DNI,Dew Point,Cloud Type,Clearsky GHI,DHI,Clearsky DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,zenith,azimuth,elevation,Best_Tilt,Azimuth_Bin,Zenith_Bin,Predicted_Energy,Date,Year,Month,Day,Hour,DayOfWeek,DayOfYear,WeekOfYear
2017-01-01 00:30:00,13.0,0.758,0,-1.2,0,0,0,0,0,37.58,984,1.2,77,1.2,106.542,107.834,-16.542,0,105,106,0.0,2017-01-01,2017,1,1,0,6,1,52
2017-01-01 01:30:00,12.5,0.743,0,-1.3,0,0,0,0,0,38.37,984,1.1,84,1.1,94.043,113.788,-4.043,0,110,94,0.0,2017-01-01,2017,1,1,1,6,1,52
2017-01-01 02:30:00,12.1,0.725,0,-1.4,0,0,0,0,0,39.2,984,0.9,93,1.1,82.157,120.811,7.843,0,120,82,0.0,2017-01-01,2017,1,1,2,6,1,52
2017-01-01 03:30:00,11.8,0.702,0,-1.4,0,0,0,0,0,40.06,984,0.8,108,1.1,71.211,129.46,18.789,0,125,70,0.0,2017-01-01,2017,1,1,3,6,1,52
2017-01-01 04:30:00,11.6,0.677,0,-1.3,0,0,0,0,0,40.83,984,0.8,116,1.1,61.722,140.409,28.278,0,140,60,0.0,2017-01-01,2017,1,1,4,6,1,52
2017-01-01 05:30:00,11.1,0.287,0,4.7,0,0,0,0,0,64.81,985,1.1,139,1.4,54.471,154.269,35.529,0,150,54,0.0,2017-01-01,2017,1,1,5,6,1,52
2017-01-01 06:30:00,11.9,0.285,0,4.7,0,0,0,0,0,61.46,986,1.3,142,1.3,50.442,170.946,39.558,0,170,50,0.0,2017-01-01,2017,1,1,6,6,1,52
2017-01-01 07:30:00,14.1,0.28,271,4.9,0,101,59,59,271,53.9,986,1.5,143,1.3,50.418,188.878,39.582,47,185,50,30.302,2017-01-01,2017,1,1,7,6,1,52
2017-01-01 08:30:00,17.4,0.272,531,4.9,0,294,111,111,531,43.61,987,1.2,156,1.3,54.404,205.583,35.596,50,205,54,86.988,2017-01-01,2017,1,1,8,6,1,52
2017-01-01 09:30:00,21.3,0.262,672,4.6,0,471,137,137,672,33.57,987,1.1,234,1.3,61.623,219.48,28.377,54,215,60,136.439,2017-01-01,2017,1,1,9,6,1,52
2017-01-01 10:30:00,24.6,0.256,746,4.1,0,603,153,153,746,26.54,986,1.7,305,1.3,71.091,230.463,18.909,62,230,70,171.757,2017-01-01,2017,1,1,10,6,1,52
2017-01-01 11:30:00,26.4,0.434,664,3.8,0,646,208,208,664,23.39,985,2.4,315,1.2,82.025,239.138,7.975,71,235,82,181.592,2017-01-01,2017,1,1,11,6,1,52
2017-01-01 12:30:00,26.9,0.439,660,3.8,0,644,209,209,660,22.6,985,2.8,319,1.2,93.904,246.183,-3.904,90,245,92,183.635,2017-01-01,2017,1,1,12,6,1,52
2017-01-01 13:30:00,26.8,0.442,626,3.6,0,574,198,198,626,22.48,984,3.1,323,1.2,106.397,252.154,-16.397,90,250,106,157.447,2017-01-01,2017,1,1,13,6,1,52
2017-01-01 14:30:00,26.0,0.472,534,3.5,0,441,178,178,534,23.35,984,3.1,328,1.2,119.296,257.5,-29.296,90,255,118,110.321,2017-01-01,2017,1,1,14,6,1,52
2017-01-01 15:30:00,23.6,0.474,399,3.6,0,270,135,135,399,27.19,984,2.2,334,1.2,132.459,262.653,-42.459,90,260,132,57.69,2017-01-01,2017,1,1,15,6,1,52
2017-01-01 16:30:00,20.0,0.479,173,5.2,0,84,58,58,173,37.94,984,1.4,343,1.2,145.778,268.252,-55.778,0,265,144,12.338,2017-01-01,2017,1,1,16,6,1,52
2017-01-01 17:30:00,17.5,0.481,0,5.2,0,0,0,0,0,44.26,985,1.3,175,1.2,159.129,276.047,-69.129,0,275,158,0.0,2017-01-01,2017,1,1,17,6,1,52
2017-01-01 18:30:00,16.5,0.486,0,5.2,0,0,0,0,0,47.27,986,1.3,6,1.3,172.012,298.355,-82.012,0,295,172,0.0,2017-01-01,2017,1,1,18,6,1,52
2017-01-01 19:30:00,15.6,0.498,0,5.3,0,0,0,0,0,50.28,987,1.3,17,1.3,172.219,60.671,-82.219,0,60,172,0.0,2017-01-01,2017,1,1,19,6,1,52
2017-01-01 20:30:00,14.7,0.518,0,5.5,0,0,0,0,0,53.91,987,1.3,27,1.3,159.363,83.735,-69.363,0,80,158,0.0,2017-01-01,2017,1,1,20,6,1,52
2017-01-01 21:30:00,13.8,0.544,0,5.7,0,0,0,0,0,58.28,987,1.3,36,1.3,146.011,91.606,-56.011,0,90,146,0.0,2017-01-01,2017,1,1,21,6,1,52
2017-01-01 22:30:00,12.9,0.574,0,6.0,0,0,0,0,0,62.88,987,1.2,44,1.3,132.688,97.22,-42.688,0,95,132,0.0,2017-01-01,2017,1,1,22,6,1,52
2017-01-01 23:30:00,12.1,0.605,0,6.2,0,0,0,0,0,67.24,987,1.1,48,1.3,119.518,102.372,-29.518,0,100,118,0.0,2017-01-01,2017,1,1,23,6,1,52
2017-01-02 00:30:00,11.6,0.632,0,6.4,0,0,0,0,0,70.32,987,0.9,50,1.3,106.608,107.708,-16.608,0,105,106,0.0,2017-01-02,2017,1,2,0,0,2,1
2017-01-02 01:30:00,11.1,0.647,0,6.5,0,0,0,0,0,73.39,987,0.9,50,1.4,94.099,113.661,-4.099,0,110,94,0.0,2017-01-02,2017,1,2,1,0,2,1
2017-01-02 02:30:00,10.6,0.654,0,6.6,0,0,0,0,0,76.23,987,0.9,48,1.4,82.199,120.678,7.801,0,120,82,0.0,2017-01-02,2017,1,2,2,0,2,1
